Segment,Brand,Collection,commodity_code,commodity_group,secondary_salesrep_name,primary_fullname,cust_store_id,cust_id,cust_name,fabric_content,final_subbrand,first_season,Garment Type,style_status,style_id,Color,Color Type,style_description,alternate_style_description
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Knit,Real School,2020 January (Spring 2020),Top,Discontinued,68110,RRED,Solid,Short Sleeve Pique Polo,SS Pique Polo
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Knit,Real School,2020 January (Spring 2020),Top,Discontinued,68110,RROY,Solid,Short Sleeve Pique Polo,SS Pique Polo
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Knit,Real School,2020 January (Spring 2020),Top,Discontinued,68110,RWHT,Solid,Short Sleeve Pique Polo,SS Pique Polo
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Knit,Real School,2020 January (Spring 2020),Top,Discontinued,68110,RYEL,Solid,Short Sleeve Pique Polo,SS Pique Polo
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Twill,Real School,2015 April (Summer 2015),Pant,Discontinued,60363,RNVY,Solid,Real School Boys Husky Flat Front Pant,Boys Husky Pant
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Twill,Real School,2015 April (Summer 2015),Pant,Discontinued,61072,RKAK,Solid,Girls Low Rise Adj. Waist Pant,Girls Pant
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Twill,Real School,2015 April (Summer 2015),Pant,Discontinued,61072,RNVY,Solid,Girls Low Rise Adj. Waist Pant,Girls Pant
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Twill,Real School,2015 April (Summer 2015),Scooter,Discontinued,65322,RKAK,Solid,Pleat Front Scooter,Pleat Frt Scooter
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Twill,Real School,2015 April (Summer 2015),Scooter,Discontinued,65322,RNVY,Solid,Pleat Front Scooter,Pleat Frt Scooter
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Twill,Real School,2015 April (Summer 2015),Shorts,Discontinued,62072,RKAK,Solid,Real School Girls Low Rise Short,Girls Short
