Category,wm_week,WM Year,WM Weeks,WM Month,WM Month Nbr,upc, net unit sales,net retail sales
WM.com Exclusive,201901,2019,1,1 February,,71660548783,8,152
WM.com Exclusive,201901,2019,1,1 February,,71660548784,8,68
WM.com Exclusive,201901,2019,1,1 February,,71660548786,0,0
WM.com Exclusive,201901,2019,1,1 February,,71660552492,11,143
WM.com Exclusive,201901,2019,1,1 February,,71660552493,5,65
WM.com Exclusive,201901,2019,1,1 February,,71660552494,5,65
WM.com Exclusive,201901,2019,1,1 February,,71660552786,2,22
WM.com Exclusive,201901,2019,1,1 February,,71660552832,5,55
WM.com Exclusive,201901,2019,1,1 February,,71660552889,1,11
WM.com Exclusive,201901,2019,1,1 February,,71660552959,1,11
WM.com Exclusive,201901,2019,1,1 February,,71660552960,1,11
WM.com Exclusive,201901,2019,1,1 February,,71660552961,2,22
WM.com Exclusive,201901,2019,1,1 February,,71660552998,0,0
WM.com Exclusive,201901,2019,1,1 February,,71660553013,0,0
WM.com Exclusive,201901,2019,1,1 February,,71660553015,0,0
WM.com Exclusive,201901,2019,1,1 February,,71660553020,5,95
WM.com Exclusive,201901,2019,1,1 February,,71660553022,2,38
WM.com Exclusive,201901,2019,1,1 February,,71660553075,1,15
WM.com Exclusive,201901,2019,1,1 February,,71660553150,2,30
WM.com Exclusive,201901,2019,1,1 February,,71660553171,-1,-11
WM.com Exclusive,201901,2019,1,1 February,,71660553234,2,21
WM.com Exclusive,201901,2019,1,1 February,,71660553235,1,11
WM.com Exclusive,201901,2019,1,1 February,,71660553237,1,11
WM.com Exclusive,201901,2019,1,1 February,,71660553238,2,22
WM.com Exclusive,201901,2019,1,1 February,,71660553284,1,11
WM.com Exclusive,201901,2019,1,1 February,,71660553305,1,15
WM.com Exclusive,201901,2019,1,1 February,,71660554426,1,11
WM.com Exclusive,201901,2019,1,1 February,,71660554617,1,11
WM.com Exclusive,201901,2019,1,1 February,,71660561968,1,21
WM.com Exclusive,201901,2019,1,1 February,,71660562071,1,21
WM.com Exclusive,201901,2019,1,1 February,,71660562072,2,42
WM.com Exclusive,201901,2019,1,1 February,,71660562086,1,21
WM.com Exclusive,201901,2019,1,1 February,,71660562192,2,42
WM.com Exclusive,201901,2019,1,1 February,,71660562193,5,104
WM.com Exclusive,201901,2019,1,1 February,,71660562194,2,42
WM.com Exclusive,201901,2019,1,1 February,,71660562196,1,21
WM.com Exclusive,201901,2019,1,1 February,,71660562338,11,229
WM.com Exclusive,201901,2019,1,1 February,,71660562339,1,21
WM.com Exclusive,201901,2019,1,1 February,,71660564954,0,0
WM.com Exclusive,201901,2019,1,1 February,,71660566044,1,25
WM.com Exclusive,201901,2019,1,1 February,,71660566045,1,25
Seasonal Solids,201901,2019,1,1 February,,71660566062,0,0
Seasonal Solids,201901,2019,1,1 February,,71660566063,2,38
Seasonal Solids,201901,2019,1,1 February,,71660566064,6,113
Seasonal Solids,201901,2019,1,1 February,,71660566107,2,38
WM.com Exclusive,201901,2019,1,1 February,,71660569812,2,16
WM.com Exclusive,201901,2019,1,1 February,,71660569940,6,47
WM.com Exclusive,201901,2019,1,1 February,,71660569941,2,16
WM.com Exclusive,201901,2019,1,1 February,,71660569962,1,8
WM.com Exclusive,201901,2019,1,1 February,,71660569963,2,16
WM.com Exclusive,201901,2019,1,1 February,,71660570147,2,38
WM.com Exclusive,201901,2019,1,1 February,,71660570150,5,94
WM.com Exclusive,201901,2019,1,1 February,,71660570151,4,75
WM.com Exclusive,201901,2019,1,1 February,,71660570152,6,113
WM.com Exclusive,201901,2019,1,1 February,,71660570153,2,38
